date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:53	43/43	---M--	200	added ('OK')	text/plain	etag:W/%222b-15e37a8b588%22	http://nordic.design/robots.txt		(from )
00:31:54	119230/119230	---MCZ	200	added ('OK')	text/html	etag:W/%221d1be-03zuvn7Ewb+UXSX41DyJgQ%22	http://nordic.design/	D:/web%20templates/Nordic/nordic.design/index.html	(from )
00:31:57	6723/6723	---M--	200	added ('OK')	application/octet-stream	etag:W/%221a43-Blv6RBMWRXO57hbTdXL4aw%22	https://images.confetticdn.com/images/scale/w_72,h_72,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_72,h_72,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:31:58	7323/7323	---M--	200	added ('OK')	application/octet-stream	etag:W/%221c9b-rMqfb3f99z9YsV8/fbN0ZA%22	https://images.confetticdn.com/images/scale/w_76,h_76,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_76,h_76,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:02	22348/22348	---M--	200	added ('OK')	application/octet-stream	etag:W/%22574c-l4jukJwQaduaBzKyFGZVFA%22	https://images.confetticdn.com/images/scale/w_180,h_180,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_180,h_180,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:04	1907/1907	---M--	200	added ('OK')	application/octet-stream	etag:W/%22773-LTzNf8xHrU2Lec6EEkJeyg%22	https://images.confetticdn.com/images/scale/w_36,h_36,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_36,h_36,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:04	3367/3367	---M--	200	added ('OK')	application/octet-stream	etag:W/%22d27-VeaxeTk9m4HWb5LUWU/MwA%22	https://images.confetticdn.com/images/scale/w_48,h_48,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_48,h_48,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:05	711/711	---M--	200	added ('OK')	application/octet-stream	etag:W/%222c7-cAVsZKvW6Hk0xBaCDeHkBA%22	https://images.confetticdn.com/images/scale/w_16,h_16,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_16,h_16,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:06	1620/1620	---M--	200	added ('OK')	application/octet-stream	etag:W/%22654-fyx26mYPcp2A1Qx8DGepYQ%22	https://images.confetticdn.com/images/scale/w_32,h_32,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_32,h_32,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:32:06	65841/65841	---MCZ	200	added ('OK')	text/css	etag:W/%2210131-15e37a9bf28%22	http://nordic.design/themes/default/style.css	D:/web%20templates/Nordic/nordic.design/themes/default/style.css	(from http://nordic.design/)
